Semana,Arquitectura de software
2019-12-01,57
2019-12-08,51
2019-12-15,46
2019-12-22,33
2019-12-29,28
2020-01-05,41
2020-01-12,41
2020-01-19,40
2020-01-26,38
2020-02-02,40
2020-02-09,47
2020-02-16,48
2020-02-23,49
2020-03-01,48
2020-03-08,50
2020-03-15,50
2020-03-22,48
2020-03-29,50
2020-04-05,53
2020-04-12,60
2020-04-19,60
2020-04-26,60
2020-05-03,58
2020-05-10,59
2020-05-17,61
2020-05-24,59
2020-05-31,60
2020-06-07,60
2020-06-14,62
2020-06-21,52
2020-06-28,60
2020-07-05,59
2020-07-12,59
2020-07-19,59
2020-07-26,56
2020-08-02,55
2020-08-09,59
2020-08-16,59
2020-08-23,59
2020-08-30,35
2020-09-06,45
2020-09-13,62
2020-09-20,63
2020-09-27,53
2020-10-04,54
2020-10-11,55
2020-10-18,55
2020-10-25,53
2020-11-01,50
2020-11-08,52
2020-11-15,57
2020-11-22,51
2020-11-29,49
2020-12-06,53
2020-12-13,51
2020-12-20,49
2020-12-27,38
2021-01-03,56
2021-01-10,57
2021-01-17,60
2021-01-24,61
2021-01-31,50
2021-02-07,47
2021-02-14,48
2021-02-21,63
2021-02-28,67
2021-03-07,68
2021-03-14,66
2021-03-21,66
2021-03-28,66
2021-04-04,63
2021-04-11,69
2021-04-18,71
2021-04-25,67
2021-05-02,59
2021-05-09,66
2021-05-16,67
2021-05-23,68
2021-05-30,68
2021-06-06,67
2021-06-13,64
2021-06-20,71
2021-06-27,64
2021-07-04,68
2021-07-11,67
2021-07-18,64
2021-07-25,55
2021-08-01,55
2021-08-08,61
2021-08-15,61
2021-08-22,59
2021-08-29,69
2021-09-05,69
2021-09-12,71
2021-09-19,53
2021-09-26,61
2021-10-03,56
2021-10-10,60
2021-10-17,68
2021-10-24,78
2021-10-31,74
2021-11-07,76
2021-11-14,80
2021-11-21,79
2021-11-28,77
2021-12-05,79
2021-12-12,74
2021-12-19,71
2021-12-26,65
2022-01-02,82
2022-01-09,91
2022-01-16,82
2022-01-23,80
2022-01-30,63
2022-02-06,84
2022-02-13,100
2022-02-20,99
2022-02-27,87
2022-03-06,88
2022-03-13,84
2022-03-20,93
2022-03-27,94
2022-04-03,71
2022-04-10,61
2022-04-17,57
2022-04-24,52
2022-05-01,77
2022-05-08,84
2022-05-15,51
2022-05-22,53
2022-05-29,49
2022-06-05,51
2022-06-12,50
2022-06-19,52
2022-06-26,45
2022-07-03,41
2022-07-10,43
2022-07-17,44
2022-07-24,44
2022-07-31,48
2022-08-07,43
2022-08-14,45
2022-08-21,54
2022-08-28,47
2022-09-04,51
2022-09-11,51
2022-09-18,51
2022-09-25,52
2022-10-02,50
2022-10-09,56
2022-10-16,56
2022-10-23,53
2022-10-30,55
2022-11-06,56
2022-11-13,71
2022-11-20,70
2022-11-27,51
2022-12-04,51
2022-12-11,52
2022-12-18,41
2022-12-25,38
2023-01-01,44
2023-01-08,49
2023-01-15,51
2023-01-22,55
2023-01-29,55
2023-02-05,51
2023-02-12,49
2023-02-19,47
2023-02-26,49
2023-03-05,46
2023-03-12,47
2023-03-19,47
2023-03-26,43
2023-04-02,42
2023-04-09,44
2023-04-16,43
2023-04-23,46
2023-04-30,43
2023-05-07,51
2023-05-14,51
2023-05-21,45
2023-05-28,45
2023-06-04,42
2023-06-11,46
2023-06-18,47
2023-06-25,44
2023-07-02,42
2023-07-09,65
2023-07-16,78
2023-07-23,70
2023-07-30,61
2023-08-06,71
2023-08-13,75
2023-08-20,77
2023-08-27,74
2023-09-03,79
2023-09-10,82
2023-09-17,87
2023-09-24,77
2023-10-01,69
2023-10-08,82
2023-10-15,81
2023-10-22,86
2023-10-29,86
2023-11-05,81
2023-11-12,79
2023-11-19,82
2023-11-26,90
2023-12-03,91
2023-12-10,66
2023-12-17,56
2023-12-24,41
2023-12-31,44
2024-01-07,51
2024-01-14,51
2024-01-21,55
2024-01-28,56
2024-02-04,59
2024-02-11,51
2024-02-18,62
2024-02-25,65
2024-03-03,
