Categoría: Todas las categorías

Semana,software: (Todo el mundo)
2019-12-01,86
2019-12-08,82
2019-12-15,83
2019-12-22,73
2019-12-29,79
2020-01-05,90
2020-01-12,85
2020-01-19,89
2020-01-26,85
2020-02-02,85
2020-02-09,90
2020-02-16,86
2020-02-23,87
2020-03-01,87
2020-03-08,77
2020-03-15,86
2020-03-22,83
2020-03-29,85
2020-04-05,83
2020-04-12,88
2020-04-19,93
2020-04-26,82
2020-05-03,80
2020-05-10,84
2020-05-17,83
2020-05-24,79
2020-05-31,82
2020-06-07,84
2020-06-14,83
2020-06-21,83
2020-06-28,84
2020-07-05,85
2020-07-12,90
2020-07-19,86
2020-07-26,79
2020-08-02,82
2020-08-09,84
2020-08-16,81
2020-08-23,84
2020-08-30,87
2020-09-06,86
2020-09-13,89
2020-09-20,91
2020-09-27,83
2020-10-04,88
2020-10-11,82
2020-10-18,80
2020-10-25,78
2020-11-01,74
2020-11-08,82
2020-11-15,78
2020-11-22,80
2020-11-29,80
2020-12-06,78
2020-12-13,75
2020-12-20,73
2020-12-27,64
2021-01-03,74
2021-01-10,78
2021-01-17,81
2021-01-24,78
2021-01-31,76
2021-02-07,75
2021-02-14,77
2021-02-21,80
2021-02-28,79
2021-03-07,76
2021-03-14,79
2021-03-21,75
2021-03-28,73
2021-04-04,72
2021-04-11,73
2021-04-18,74
2021-04-25,75
2021-05-02,76
2021-05-09,72
2021-05-16,74
2021-05-23,72
2021-05-30,72
2021-06-06,76
2021-06-13,75
2021-06-20,75
2021-06-27,73
2021-07-04,73
2021-07-11,73
2021-07-18,71
2021-07-25,74
2021-08-01,75
2021-08-08,71
2021-08-15,71
2021-08-22,72
2021-08-29,73
2021-09-05,74
2021-09-12,83
2021-09-19,82
2021-09-26,79
2021-10-03,77
2021-10-10,71
2021-10-17,74
2021-10-24,75
2021-10-31,68
2021-11-07,84
2021-11-14,73
2021-11-21,76
2021-11-28,83
2021-12-05,79
2021-12-12,77
2021-12-19,70
2021-12-26,71
2022-01-02,87
2022-01-09,85
2022-01-16,81
2022-01-23,87
2022-01-30,93
2022-02-06,94
2022-02-13,100
2022-02-20,96
2022-02-27,95
2022-03-06,97
2022-03-13,96
2022-03-20,94
2022-03-27,96
2022-04-03,94
2022-04-10,81
2022-04-17,89
2022-04-24,92
2022-05-01,85
2022-05-08,84
2022-05-15,80
2022-05-22,83
2022-05-29,78
2022-06-05,81
2022-06-12,81
2022-06-19,85
2022-06-26,81
2022-07-03,82
2022-07-10,80
2022-07-17,81
2022-07-24,82
2022-07-31,83
2022-08-07,80
2022-08-14,78
2022-08-21,82
2022-08-28,82
2022-09-04,85
2022-09-11,86
2022-09-18,84
2022-09-25,82
2022-10-02,81
2022-10-09,84
2022-10-16,83
2022-10-23,76
2022-10-30,82
2022-11-06,82
2022-11-13,82
2022-11-20,76
2022-11-27,81
2022-12-04,79
2022-12-11,81
2022-12-18,74
2022-12-25,70
2023-01-01,79
2023-01-08,85
2023-01-15,85
2023-01-22,84
2023-01-29,85
2023-02-05,87
2023-02-12,86
2023-02-19,84
2023-02-26,81
2023-03-05,80
2023-03-12,80
2023-03-19,78
2023-03-26,81
2023-04-02,75
2023-04-09,75
2023-04-16,78
2023-04-23,74
2023-04-30,75
2023-05-07,75
2023-05-14,75
2023-05-21,79
2023-05-28,81
2023-06-04,84
2023-06-11,85
2023-06-18,79
2023-06-25,81
2023-07-02,78
2023-07-09,83
2023-07-16,82
2023-07-23,81
2023-07-30,77
2023-08-06,78
2023-08-13,77
2023-08-20,82
2023-08-27,82
2023-09-03,83
2023-09-10,85
2023-09-17,86
2023-09-24,85
2023-10-01,83
2023-10-08,83
2023-10-15,82
2023-10-22,79
2023-10-29,78
2023-11-05,81
2023-11-12,79
2023-11-19,77
2023-11-26,82
2023-12-03,81
2023-12-10,77
2023-12-17,78
2023-12-24,73
2023-12-31,75
2024-01-07,85
2024-01-14,83
2024-01-21,89
2024-01-28,92
2024-02-04,93
2024-02-11,88
2024-02-18,88
2024-02-25,89
2024-03-03,90
2024-03-10,88
2024-03-17,91
2024-03-24,83
2024-03-31,83
2024-04-07,84
2024-04-14,86
2024-04-21,83
2024-04-28,81
2024-05-05,85
2024-05-12,81
2024-05-19,81
2024-05-26,79
2024-06-02,84
2024-06-09,83
2024-06-16,78
2024-06-23,81
2024-06-30,80
2024-07-07,81
2024-07-14,84
2024-07-21,82
2024-07-28,80
2024-08-04,82
2024-08-11,83
2024-08-18,86
2024-08-25,82
2024-09-01,84
2024-09-08,89
2024-09-15,83
2024-09-22,83
2024-09-29,81
2024-10-06,82
2024-10-13,84
2024-10-20,82
2024-10-27,79
2024-11-03,79
2024-11-10,86
2024-11-17,84
2024-11-24,83
2024-12-01,81
