Semana,java
2019-12-01,86
2019-12-08,83
2019-12-15,79
2019-12-22,62
2019-12-29,59
2020-01-05,80
2020-01-12,82
2020-01-19,85
2020-01-26,84
2020-02-02,86
2020-02-09,87
2020-02-16,89
2020-02-23,87
2020-03-01,85
2020-03-08,80
2020-03-15,76
2020-03-22,75
2020-03-29,77
2020-04-05,75
2020-04-12,78
2020-04-19,82
2020-04-26,76
2020-05-03,74
2020-05-10,79
2020-05-17,75
2020-05-24,76
2020-05-31,77
2020-06-07,71
2020-06-14,74
2020-06-21,78
2020-06-28,79
2020-07-05,70
2020-07-12,65
2020-07-19,68
2020-07-26,71
2020-08-02,74
2020-08-09,72
2020-08-16,73
2020-08-23,69
2020-08-30,77
2020-09-06,78
2020-09-13,72
2020-09-20,71
2020-09-27,75
2020-10-04,76
2020-10-11,67
2020-10-18,72
2020-10-25,69
2020-11-01,66
2020-11-08,62
2020-11-15,70
2020-11-22,64
2020-11-29,65
2020-12-06,67
2020-12-13,61
2020-12-20,57
2020-12-27,59
2021-01-03,60
2021-01-10,62
2021-01-17,68
2021-01-24,66
2021-01-31,68
2021-02-07,65
2021-02-14,66
2021-02-21,64
2021-02-28,63
2021-03-07,65
2021-03-14,67
2021-03-21,62
2021-03-28,64
2021-04-04,63
2021-04-11,66
2021-04-18,70
2021-04-25,67
2021-05-02,66
2021-05-09,68
2021-05-16,70
2021-05-23,67
2021-05-30,69
2021-06-06,70
2021-06-13,66
2021-06-20,71
2021-06-27,68
2021-07-04,65
2021-07-11,68
2021-07-18,63
2021-07-25,67
2021-08-01,62
2021-08-08,63
2021-08-15,65
2021-08-22,64
2021-08-29,67
2021-09-05,68
2021-09-12,70
2021-09-19,71
2021-09-26,69
2021-10-03,73
2021-10-10,74
2021-10-17,74
2021-10-24,73
2021-10-31,66
2021-11-07,70
2021-11-14,76

