Semana,base de datos
2019-12-01,57
2019-12-08,51
2019-12-15,46
2019-12-22,27
2019-12-29,28
2020-01-05,48
2020-01-12,55
2020-01-19,59
2020-01-26,64
2020-02-02,73
2020-02-09,80
2020-02-16,77
2020-02-23,73
2020-03-01,77
2020-03-08,70
2020-03-15,56
2020-03-22,71
2020-03-29,69
2020-04-05,55
2020-04-12,64
2020-04-19,81
2020-04-26,76
2020-05-03,76
2020-05-10,79
2020-05-17,80
2020-05-24,79
2020-05-31,76
2020-06-07,73
2020-06-14,66
2020-06-21,61
2020-06-28,59
2020-07-05,60
2020-07-12,58
2020-07-19,55
2020-07-26,56
2020-08-02,54
2020-08-09,57
2020-08-16,57
2020-08-23,61
2020-08-30,61
2020-09-06,67
2020-09-13,61
2020-09-20,86
2020-09-27,81
2020-10-04,69
2020-10-11,62
2020-10-18,66
2020-10-25,64
2020-11-01,54
2020-11-08,68
2020-11-15,59
2020-11-22,59
2020-11-29,59
2020-12-06,51
2020-12-13,49
2020-12-20,28
2020-12-27,27
2021-01-03,36
2021-01-10,46
2021-01-17,47
2021-01-24,50
2021-01-31,55
2021-02-07,55
2021-02-14,52
2021-02-21,63
2021-02-28,61
2021-03-07,62
2021-03-14,69
2021-03-21,62
2021-03-28,43
2021-04-04,54
2021-04-11,65
2021-04-18,70
2021-04-25,61
2021-05-02,57
2021-05-09,61
2021-05-16,65
2021-05-23,63
2021-05-30,56
2021-06-06,60
2021-06-13,60
2021-06-20,51
2021-06-27,49
2021-07-04,46
2021-07-11,47
2021-07-18,47
2021-07-25,45
2021-08-01,45
2021-08-08,53
2021-08-15,49
2021-08-22,57
2021-08-29,53
2021-09-05,66
2021-09-12,57
2021-09-19,64
2021-09-26,63
2021-10-03,66
2021-10-10,62
2021-10-17,67
2021-10-24,64
2021-10-31,55
2021-11-07,71
2021-11-14,64
2021-11-21,61
2021-11-28,57
2021-12-05,50
2021-12-12,53
2021-12-19,31
2021-12-26,26
2022-01-02,46
2022-01-09,52
2022-01-16,54
2022-01-23,66
2022-01-30,73
2022-02-06,81
2022-02-13,100
2022-02-20,98
2022-02-27,94
2022-03-06,98
2022-03-13,100
2022-03-20,93
2022-03-27,97
2022-04-03,97
2022-04-10,55
2022-04-17,86
2022-04-24,97
2022-05-01,94
2022-05-08,95
2022-05-15,93
2022-05-22,94
2022-05-29,84
2022-06-05,87
2022-06-12,82
2022-06-19,74
2022-06-26,75
2022-07-03,67
2022-07-10,69
2022-07-17,59
2022-07-24,57
2022-07-31,57
2022-08-07,65
2022-08-14,69
2022-08-21,83
2022-08-28,90
2022-09-04,90
2022-09-11,82
2022-09-18,87
2022-09-25,95
2022-10-02,93
2022-10-09,94
2022-10-16,92
2022-10-23,95
2022-10-30,81
2022-11-06,87
2022-11-13,89
2022-11-20,82
2022-11-27,81
2022-12-04,65
2022-12-11,60
2022-12-18,41
2022-12-25,37
2023-01-01,37
2023-01-08,57
2023-01-15,63
2023-01-22,71
2023-01-29,75
2023-02-05,81
2023-02-12,83
2023-02-19,85
2023-02-26,84
2023-03-05,84
2023-03-12,82
2023-03-19,82
2023-03-26,84
2023-04-02,46
2023-04-09,77
2023-04-16,92
2023-04-23,80
2023-04-30,78
2023-05-07,83
2023-05-14,85
2023-05-21,87
2023-05-28,89
2023-06-04,85
2023-06-11,73
2023-06-18,67
2023-06-25,70
2023-07-02,57
2023-07-09,59
2023-07-16,55
2023-07-23,53
2023-07-30,55
2023-08-06,55
2023-08-13,60
2023-08-20,72
2023-08-27,84
2023-09-03,88
2023-09-10,80
2023-09-17,85
2023-09-24,86
2023-10-01,83
2023-10-08,77
2023-10-15,80
2023-10-22,81
2023-10-29,71
2023-11-05,77
2023-11-12,77
2023-11-19,75
2023-11-26,74
2023-12-03,61
2023-12-10,50
2023-12-17,39
2023-12-24,29
2023-12-31,34
2024-01-07,48
2024-01-14,57
2024-01-21,55
2024-01-28,69
2024-02-04,72
2024-02-11,72
2024-02-18,80
2024-02-25,76
2024-03-03,76
2024-03-10,77
2024-03-17,75
2024-03-24,47
2024-03-31,69
2024-04-07,85
2024-04-14,83
2024-04-21,81
2024-04-28,71
2024-05-05,72
2024-05-12,74
2024-05-19,76
2024-05-26,75
2024-06-02,70
2024-06-09,63
2024-06-16,59
2024-06-23,57
2024-06-30,53
2024-07-07,52
2024-07-14,51
2024-07-21,50
2024-07-28,46
2024-08-04,49
2024-08-11,55
2024-08-18,59
2024-08-25,72
2024-09-01,74
2024-09-08,71
2024-09-15,65
2024-09-22,65
2024-09-29,64
2024-10-06,66
2024-10-13,70
2024-10-20,68
2024-10-27,56
2024-11-03,59
2024-11-10,68
2024-11-17,67
2024-11-24,67
2024-12-01,60
